Feature,Mean_Abs_SHAP,Mean_SHAP
cog_composite_pos,7.925936184443675,-0.922154066208451
age_edu_interaction,5.755510312491674,2.768681883027193
PTEDUCAT,4.797627824938814,-1.093707674684282
AGE,4.510741854428347,-0.9942783328880629
TAU,3.870010102939703,1.2719608051256095
MMSE,3.6848642173471147,0.7172441918596634
LDELTOTAL,3.1719817226731464,0.003025577197107161
FDG,2.1565305845729466,0.5804516272989539
neurodegeneration_composite,1.9013451663645895,-0.542508622797759
ABETA,1.7506907347652936,0.6542886011181014
APOE4,1.5326519774007636,-0.39397794047936024
FAQ,1.1782954857051298,-0.5510013438549743
MOCA,0.877138210795537,-0.2351402467850385
PTGENDER_num,0.7143683296846676,-0.4708474660805864
ADAS11,0.5746149335418633,0.0529545218576881
field_3 Tesla MRI,0.49667590909108134,-0.40947472802245516
EcogPtTotal,0.4803433160395481,-0.17000323209453608
mPACCdigit,0.47250734818114026,0.04467712773186874
Hippocampus_ICV,0.3745405375801171,-0.19280993038210256
CDRSB,0.3644407602148266,-0.2397319435748849
PTAU,0.33691020663820426,0.07465144466471775
AV45,0.2744726543116359,0.1661463320687662
APOE4_x_tau,0.2281145225369675,0.1882826324451395
Entorhinal_ICV,0.2100739807098927,-0.04714222918210538
MidTemp_ICV,0.17915405547538982,0.05610871986055981
RAVLT_learning,0.17521796674647735,0.022007093043930732
amyloid_positive,0.17288968527060297,0.09389883536283486
n_modalities,0.0756563378910826,0.0756563378910826
APOE4_x_amyloid,0.0718139041178255,-0.0718139041178255
Ventricles_ICV,0.046265372611569135,0.046265372611569135
severity_composite,0.04528660473913841,0.04528660473913841
APOE4_x_hippo_ICV,0.023310730413716087,0.023310730413716087
RAVLT_immediate,0.02085995436389427,0.02085995436389427
EcogSPTotal,0.012268088415609286,-0.012268088415609286
ADAS13,0.0,0.0
Fusiform_ICV,0.0,0.0
WholeBrain_ICV,0.0,0.0
RAVLT_forgetting,0.0,0.0
amyloid_composite,0.0,0.0
ATN_composite,0.0,0.0
APOE4_amyloid_pos,0.0,0.0
ecog_sp_pt_ratio,0.0,0.0
mPACCtrailsB,0.0,0.0
